location,stream,n,velocity,sdVelocity,CH4.eq3,sdCH4.eq3,N2O.eq3,sdN2O.eq3,CH4.eq5,sdCH4.eq5,N2O.eq5,sdN2O.eq5
HA,heath,3,0.148,0.011313708,20168.70537,3660.795166,559.1622548,102.633988,40481.58522,6900.33228,1124.623758,218.8240797
HC,heath,4,0.08525,0.050109048,2238.310831,3726.157701,893.4118727,658.8816128,4462.300615,7560.646344,1694.393562,1400.481646
RC,rice,6,0.234,0.1597473,1226.119387,1925.379152,3468.085546,1925.379152,2802.552475,4710.263666,7355.432247,3326.721959
RD,rice,7,0.161857143,0.038111366,4620.067531,3417.087943,2265.865531,1101.011553,9364.570386,7176.708951,4560.786246,2284.189482
RP,rice,7,0.147571429,0.054478917,394.0401244,748.6038991,14478.14588,7265.232003,788.8124535,1487.997745,28847.37789,15726.12119
